"p","n","sim","ARI.Oracle","ARI.vemMB","ARI.vemGlasso","ARI.vemTree","AUC.MB","AUC.vemMB","AUC.Glasso","AUC.vemGlasso","AUC.Tree","AUC.vemTree"
20,20,1,0.323178970642427,0.00674536256323781,0.00674536256323781,0.0431150964255006,0.628085766680773,0.632881929750318,0.628085766680773,0.632881929750318,0.716321060798421,0.70489490760333
20,20,2,0.760475447232561,0,0,0.0797317436661699,0.565349125464812,0.619887067896984,0.565349125464812,0.619887067896984,0.734609557912133,0.730615617683515
20,20,3,0.506737544813945,-0.0496555310022098,-0.0496555310022098,0.022178654576645,0.676607581834649,0.698537973864666,0.676607581834649,0.698537973864666,0.734377021606935,0.678548324492172
20,20,4,0.158386208547827,-0.0772833723653396,-0.0772833723653396,0.120477524668047,0.518666666666666,0.571536231884058,0.518666666666666,0.571536231884058,0.708289855072464,0.681159420289855
20,20,5,0.32747467350177,0.0650756550621232,0.0650756550621232,0.0178882564757812,0.630103326612904,0.614730342741936,0.630103326612904,0.614730342741936,0.763860887096774,0.761025705645161
20,20,6,0.493903160885521,-0.0532946957288648,-0.0532946957288648,0.14004914004914,0.567474747474748,0.608080808080808,0.567474747474748,0.608080808080808,0.646599326599327,0.638922558922559
20,20,7,0.487807866683005,0.027496726580169,0.027496726580169,-0.00388679703631727,0.549361137897782,0.56268081002893,0.549361137897782,0.56268081002893,0.701542912246866,0.647661523625844
20,20,8,0.547465124191902,-0.0269008721287311,-0.0269008721287311,0.094930248383804,0.653374811463047,0.676659125188537,0.653374811463047,0.676659125188537,0.821078431372549,0.778846153846154
20,20,9,0.203497424841298,-0.017735983811451,-0.017735983811451,-0.0749083289680461,0.623716708823092,0.631825621187323,0.623716708823092,0.631825621187323,0.797797946734117,0.806725189703914
20,20,10,0.462418501660721,-0.0365778053316801,-0.0365778053316801,0.0903363991432531,0.607323076923077,0.626953846153846,0.607323076923077,0.626953846153846,0.799876923076923,0.772184615384616
20,20,11,0.92457752069865,0.123717283523579,0.123717283523579,0.311198066520889,0.662416666666667,0.659833333333333,0.662416666666667,0.659833333333333,0.78,0.783083333333334
20,20,12,0.332911246690457,-0.0814264142176792,-0.0814264142176792,0.207471889735219,0.664367816091954,0.709961685823754,0.664367816091954,0.709961685823754,0.771187739463601,0.789885057471265
20,20,13,0.649920157228842,0.00154559505409587,0.00154559505409587,0,0.630130597014926,0.659381663113006,0.630130597014926,0.659381663113006,0.727345415778252,0.71235341151386
20,20,14,0.833853841349157,-0.0517477298171414,-0.0517477298171414,-0.0293561799168452,0.637506925207756,0.615789473684211,0.637506925207756,0.615789473684211,0.677340720221606,0.646315789473684
20,20,15,0.426559356136821,-0.0288808664259928,-0.0288808664259928,0.286395612257065,0.578867660764212,0.564072693383038,0.578867660764212,0.564072693383038,0.688956197576887,0.692509319664492
